,C5,C6,C8,C12,U14,,,,,,,,,,,
0,['Debugging'],"['Lack_of_Wider_Context', 'Context_Window']",,,['Security_Issues_in_Generated_Code'],,,,,,,,,,,
1,"['Documentation', 'Faster_Development_or_Saves_Time', 'Prototyping_or_Skeleton']",['Lack_of_Wider_Context'],,,"['Other_Media_Generation', 'Legal_Issues_Surrounding_Training_Data']",,,,,,,,,,,
2,"['Provide_Reference_or_Learning', 'Provide_Inspiration']","[""Can't_Rely_On_AI_Fully""]",,,['Unemployment'],,,,,,,,,,,
3,['Writing_Basic_Code_Snippets'],['Have_to_Review_Carefully'],,,['Information_Leaks'],,,,,,,,,,,
4,"['Automate_Tasks', 'Allows_to_Shift_Focus']","['Trained_on_Old_Data', 'Lack_of_Wider_Context']",,,"['Legal_Issues_Surrounding_Training_Data', 'Generating_Specifications']",,,,,,,,,,,
5,"['Faster_Development_or_Saves_Time', 'Writing_Basic_Code_Snippets', 'Debugging']","['Generic_Generations', 'Unhelpful_or_Broken_Generations']",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
6,"['Faster_Development_or_Saves_Time', 'Allows_to_Shift_Focus']",['Unhelpful_or_Broken_Generations'],,,['Configuration'],,,,,,,,,,,
7,"['Lower_Costs', 'Faster_Development_or_Saves_Time']",['Hallucinations'],,,['No_Response'],,,,,,,,,,,
8,"['Faster_Development_or_Saves_Time', 'Increases_Scope_of_Work']","['Unhelpful_or_Broken_Generations', 'Circular_Conversations']",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
9,['Faster_Development_or_Saves_Time'],['No_Gaps'],,,['No_Response'],,,,,,,,,,,
11,,,['No_Usecase_or_Not_Useful'],,['Not_Sure_or_No_Issues'],,,,,,,,,,,
12,['Prototyping_or_Skeleton'],"['Unhelpful_or_Broken_Generations', ""AI_Doesn't_Understand_Problem""]",,,['Documentation'],,,,,,,,,,,
13,['Faster_Development_or_Saves_Time'],['Bad_Answer'],,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
14,"['Faster_Development_or_Saves_Time', 'Prototyping_or_Skeleton']",['Security'],,,['Legal_Issues_Surrounding_Training_Data'],,,,,,,,,,,
15,"['Debugging', 'Generating_Test_Cases', 'Linting', 'Generating_Test_Data', 'Faster_Development_or_Saves_Time']","['Unhelpful_or_Broken_Generations', 'Generates_Poor_Quality_Code']",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
16,['Writing_Basic_Code_Snippets'],['No_Gaps'],,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,['Faster_Development_or_Saves_Time'],['Must_Use_Good_Prompts'],,,"['Hate_Thinking_About_It', 'Not_Sure_or_No_Issues']",,,,,,,,,,,
19,"['Provide_Reference_or_Learning', 'Faster_Development_or_Saves_Time']",['Generates_Buggy_Code'],,,['Other_Media_Generation'],,,,,,,,,,,
20,['Faster_Development_or_Saves_Time'],"['Unhelpful_or_Broken_Generations', 'Speed']",,,['Testing'],,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,['Auto_Completion'],['Incorporating_Generated_Code'],,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
23,,,['Webtools_are_Enough'],,['Data_in_Code'],,,,,,,,,,,
24,"['Faster_Development_or_Saves_Time', 'Refactoring_Code']","[""AI_Doesn't_Understand_Problem""]",,,['Information_Leaks'],,,,,,,,,,,
25,"['Provide_Reference_or_Learning', 'Faster_Development_or_Saves_Time']","['Lacks_Visual_Reasoning', ""Doesn't_Work_for_Low_Code""]",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
26,"['Getting_Alternatives', 'Documentation', 'Experimenting', 'Faster_Development_or_Saves_Time']","['Unhelpful_or_Broken_Generations', ""Can't_Automate_End_to_End_Process"", 'Hallucinations', 'Difficult_to_Go_From_Idea_to_Project']",,,"['License_Compliance', 'Patents', 'Content_Copyrights', 'Security_Issues_in_Generated_Code', 'Information_Leaks', 'Break_Standards_and_Regulations', 'Data_Privacy', 'Generating_Malicious_Content', 'Bias', 'Accessibility_Compliance', 'Generating_Poor_Quality_Code']",,,,,,,,,,,
27,['Faster_Development_or_Saves_Time'],['Hallucinations'],,,['No_Response'],,,,,,,,,,,
28,['Faster_Development_or_Saves_Time'],['Unhelpful_or_Broken_Generations'],,,['Bad_Answer'],,,,,,,,,,,
29,,,['Sending_Code_to_Remote'],,['Shell_Command_Generation'],,,,,,,,,,,
30,,,"[""Models_Don't_Make_Good_Suggestions"", 'Webtools_are_Enough', 'No_Usecase_or_Not_Useful']",,['UI_Related'],,,,,,,,,,,
31,"['Auto_Completion', 'Simplifying_Code_and_Logic']","['Requires_Manual_Edits', 'Over-Engineering']",,,['Information_Leaks'],,,,,,,,,,,
32,['Bad_Answer'],['No_Gaps'],,,['Requirements'],,,,,,,,,,,
33,"['Implementing_Algorithms', 'Refactoring_Code', 'Prototyping_or_Skeleton']","[""Can't_Compete_with_Expert_Devs"", ""Doesn't_Work_for_Complex_Issues""]",,,['Bad_Answer'],,,,,,,,,,,
34,"['Speed_Up_Architecture_Operations', 'Automate_Tasks']","['Must_Be_Able_to_Verify', 'Context_Window', 'Hallucinations']",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
35,['Faster_Development_or_Saves_Time'],['Suggestions_Are_Not_Optimal'],,,['Authoring'],,,,,,,,,,,
36,"['Quicker_Iterations', 'Allows_to_Shift_Focus']","['Unhelpful_or_Broken_Generations', 'Requires_Manual_Edits']",,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
37,"['Allows_to_Shift_Focus', 'Faster_Developement', 'Mistake_and_Typo_Correction']",['Issues_Arising_from_Paid_APIs'],,,['Generation_For_Scams'],,,,,,,,,,,
38,"[""Don't_Have_To_Read_Documentation"", 'Debugging', 'Optimize_Existing_Solutions', 'Rubber_Duck_Debugging']",['Trained_on_Old_Data'],,,['Requirements'],,,,,,,,,,,
39,"['Library_Selection', 'Provide_Reference_or_Learning', 'Writing_Basic_Code_Snippets']","['Missing_Information', 'Autocomplete_Issues', 'Unhelpful_or_Broken_Generations', ""Doesn't_Work_for_Complex_Issues"", 'Hallucinations']",,,"['Medical_Domain', 'Product_Liability']",,,,,,,,,,,
40,['Faster_Development_or_Saves_Time'],['Lack_of_Wider_Context'],,,['Not_Sure_or_No_Issues'],,,,,,,,,,,
41,,,"['Legal_Risks', 'Prefer_to_Code_Themself', 'Ethical_Considerations', 'Wants_to_Undestand_Code']",,"['Documentation', 'Plagiarism_and_Imitation']",,,,,,,,,,,
42,"['Writing_Basic_Code_Snippets', 'Detection_of_Edge_Cases', 'Faster_Development_or_Saves_Time']","['Truncates_Generated_Code', 'Context_Window']",,,"['Protected_Info_In_Prompt', 'Information_Leaks']",,,,,,,,,,,
43,"[""Don't_Have_To_Read_Documentation"", 'Faster_Development_or_Saves_Time']","['Generates_Buggy_Code', 'Not_Good_For_Debugging']",,,"['Algorithms', 'Not_Concerned']",,,,,,,,,,,
44,['Faster_Development_or_Saves_Time'],['Hallucinations'],,,['Liability_for_Generated_Bugs_and_Defects'],,,,,,,,,,,
45,,,"[""Doesn't_Use_Code_Directly""]",,['Architecture_Design'],,,,,,,,,,,
46,"['Debugging', 'Testing', 'Documentation', 'Assistance_with_Typing', 'Improve_Code_Quality', 'Faster_Development_or_Saves_Time']",['Context_Window'],,,['Testing'],,,,,,,,,,,
