JSON,Response ID,D6_country,D6_continent,C3_tools,D4_languages,C4_tasks,C9_conditions,C11_documentation,U11_ownership
0,R_6cA6EEImrgu1C7b,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Creating user interfaces",Yes,,Belongs to the developer who prompted the model (or their employer)
1,R_42Rrvcv9d2PQurB,India,Asia,"Bard, ChatGPT-3.5, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Prototyping/mocking, Refactoring",Yes,Noting the usage of a code generation tool,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
2,R_3izoKNirYOYbMzr,China,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, ERNIE","C / C++, Java, PHP, Python","Test case generation, Code documentation, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",I don't know,,Don’t know/No opinion
3,R_6g6KcZ4ASOPJqz3,United States,North America,GitHub Copilot,"Golang, Java, JavaScript","Code documentation, Writing source code",Yes,,Don’t know/No opinion
4,R_4fPEfrGe7ARUB64,Indonesia,Asia,"ChatGPT-4, GitHub Copilot, DeepSeek Coder","C / C++, Python","Test case generation, Writing source code, Creating user interfaces","Partially or under certain conditions, Can't expose sensitive data to AI",,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
5,R_4il0ZDLTwrc8udX,India,Asia,"Bard, ChatGPT-3.5, Claude (Anthropic) (any version), Perplexity AI","C / C++, Python","Test case generation, Code documentation, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
6,R_4nUF0vcqaHVGqfM,United Arab Emirates,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Golang, Java, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces",Yes,Documenting the prompt used to generate code,Belongs to no one (i.e. is in the public domain)
7,R_3ydBoyP207nB95X,Ukraine,Europe,"Bard, Amazon CodeWhisperer, Ollama",Python,"Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
8,R_4KSYbbQiHEUGHi5,New Zealand,Oceania,"ChatGPT-4, GitHub Copilot","C#, JavaScript","Debugging, Prototyping/mocking, Reference / Learning, Troubleshooting","Can't expose sensitive data to AI, Only to be used for problem solving, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
9,R_4dMHsUzLJTzE8tw,Unknown,Unknown,"ChatGPT-3.5, GitHub Copilot",JavaScript,Writing source code,Yes,Noting the usage of a code generation tool,Belongs to the creators whose works were used as training data for the output
11,R_4lhhcxXRsuMMjOQ,Spain,Europe,,"C / C++, Rust",,I don't know,,Belongs to the creators of the model (such as OpenAI)
