,C5,C6,C8,C12,U14
0,[],[],[],[],[],
1,[],[],[],[],[],
2,[],[],[],[],[],
3,[],[],[],[],[],
4,"['Automate_Tasks']",[],[],[],[],
5,[],[],[],[],[],
6,[],[],[],[],[],
7,[],[],[],[],[],
8,"['Increased_Productivity']",[],[],[],[],
9,[],[],[],[],[],
11,[],[],[],[],[],
12,"['Skeleton_Design', 'Prototyping']",[],[],[],[],
13,[],[],[],[],[],
14,"['Increased_Productivity', 'Save_Time', 'Prototyping']",[],[],[],[],
15,"['Debugging']","['Unhelpful_or_Broken_Generations']",[],[],[],
16,[],[],[],[],[],
17,[],[],[],[],[],
18,[],"["AI_Doesn't_Understand_Problem", 'Must_Use_Good_Prompts']",[],[],[],
19,"['Increased_Productivity']","['Generates_Buggy_Code', 'Unhelpful_or_Broken_Generations']",[],[],[],
20,[],"['Unhelpful_or_Broken_Generations', 'Accuracy']",[],[],[],
21,[],[],[],[],[],
22,[],[],[],[],[],
23,[],[],[],[],[],
24,[],[],[],[],[],
25,"['Increased_Productivity', 'Save_Time']","['Lacks_Visual_Reasoning']",[],[],[],
26,"['Increased_Productivity']","['Unhelpful_or_Broken_Generations']",[],[],[],
27,"['Increased_Productivity']",[],[],[],[],
28,"['Increased_Productivity']",[],[],[],[],
29,[],[],"['Webtools_are_Enough']",[],[],
30,[],[],"['No_Usecase_or_Not_Useful', "Models_Don't_Make_Good_Suggestions", 'Low_Trust', 'Webtools_are_Enough']",[],[],
31,[],"['Forced_to_Refactor']",[],[],[],
32,"['Bad_Answer', 'Increased_Productivity']",[],[],[],[],
33,"['Implementing_Algorithms']",[],[],[],[],
34,[],[],[],[],[],
35,"['Faster_Development']","['Generates_Poor_Quality_Code', 'Suggestions_Are_Not_Optimal']",[],[],[],
36,"['Save_Time']","['Generates_Poor_Quality_Code', 'Unhelpful_or_Broken_Generations']",[],[],[],
37,"['Increased_Productivity', 'Allows_to_Shift_Focus']",[],[],[],[],
38,"["Don't_Have_To_Read_Documentation", 'Provide_Reference_or_Learning', 'Rubber_Duck_Debugging']","['Poorly_Documented', 'Not_Trained_on_Most_Recent_Tech']",[],[],[],
39,"['Library_Selection', 'Provide_Reference_or_Learning']","['Autocomplete_Issues', 'Missing_Information']",[],[],[],
40,[],[],[],[],[],
41,[],[],"['Licensing_or_Copyright_Risks', 'Legal_Risks']",[],[],
42,[],[],[],[],[],
43,"['Provide_Reference_or_Learning', "Don't_Have_To_Read_Documentation", 'Writing_Basic_Code_Snippets']","['Generates_Buggy_Code', 'Unhelpful_or_Broken_Generations']",[],[],[],
44,"['Increased_Productivity', 'Save_Time']",[],[],[],[],
45,[],[],[],[],[],
46,"['Debugging', 'Save_Time', 'Improve_Code_Quality', 'Testing', 'Documentation', 'Increased_Productivity', 'Optimize_Solutions', 'Assistance_with_Typing']",[],[],[],[],
